Stim,Key,Ctx_Color,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Iter.thisRepN,CR_Old_Iter.thisTrialN,CR_Old_Iter.thisN,CR_Old_Iter.thisIndex,CR_New_Bool.thisRepN,CR_New_Bool.thisTrialN,CR_New_Bool.thisN,CR_New_Bool.thisIndex,CR_New_Iter.thisRepN,CR_New_Iter.thisTrialN,CR_New_Iter.thisN,CR_New_Iter.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Pre_Trial_Circle_Frame.started,Pre_Trial_Circle_Frame.stopped,Pre_Trial_HandShape.started,Pre_Trial_HandShape.stopped,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Symbol,Ctx,Color,Stim_Num,Key_Num,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Actual_Press,RT,Correct,Session,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,Post_Trial_HandShape.started,Post_Trial_HandShape.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Instr_CR_Old_Text.started,Instr_CR_Old_Text.stopped,Instr_CR_Old_Press.keys,Instr_CR_Old_Press.rt,Instr_CR_Old_Press.started,Instr_CR_Old_Press.stopped,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,Shape,Instr_CR_New_Text.started,Instr_CR_New_Text.stopped,Instr_CR_New_Press.keys,Instr_CR_New_Press.rt,Instr_CR_New_Press.started,Instr_CR_New_Press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,h,"[1, -1, -1]",0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2225,Context_Learning_Pilot,2020.1.3,60.623476067971914,
1,u,"[-1, 1, -1]",1,media/dfnb.png,0.014,0.1,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2225,Context_Learning_Pilot,2020.1.3,60.623476067971914,
2,h,None,0,media/dbnb.png,0.057,0.08,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2225,Context_Learning_Pilot,2020.1.3,60.623476067971914,
3,u,None,1,media/dknb.png,0.1,0.04,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2225,Context_Learning_Pilot,2020.1.3,60.623476067971914,
,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.360454700072296,None,space,0.36279559996910393,19.360454700072296,None,19.783875500084832,None,h,0.5952064000302926,19.783875500084832,None,20.502210200065747,None,20.502210200065747,None,20.65866330009885,None,h,1,0.4958212999626994,20.65866330009885,None,20.65866330009885,None,20.65866330009885,None,21.240176400053315,None,21.240176400053315,None,0,0,"[99, 99, 99]",0,0,Hand,h,RT,0,0,1,1,1,99,h,0.4958212999626994,1,1,21.592487400048412,None,21.592487400048412,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2225,Context_Learning_Pilot,2020.1.3,60.623476067971914,
,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.714295500074513,None,21.714295500074513,None,21.82150510000065,None,u,1,0.6608749999431893,21.82150510000065,None,21.82150510000065,None,21.82150510000065,None,22.50791270006448,None,22.50791270006448,None,1,0,"[99, 99, 99]",1,1,Hand,u,RT,0,0,2,1,1,99,u,0.6608749999431893,1,1,22.82321280008182,None,22.82321280008182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2225,Context_Learning_Pilot,2020.1.3,60.623476067971914,
,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.939383500022814,None,22.939383500022814,None,23.051769600016996,None,u,1,1.1668238999554887,23.051769600016996,None,23.051769600016996,None,23.051769600016996,None,24.274951300001703,None,24.274951300001703,None,1,0,"[99, 99, 99]",1,1,Hand,u,RT,0,0,3,1,1,99,u,1.1668238999554887,1,1,24.587676800088957,None,24.587676800088957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2225,Context_Learning_Pilot,2020.1.3,60.623476067971914,
,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.706950500025414,None,24.706950500025414,None,24.82218640006613,None,h,1,0.3250947000924498,24.82218640006613,None,24.82218640006613,None,24.82218640006613,None,25.171057700063102,None,25.171057700063102,None,0,0,"[99, 99, 99]",0,0,Hand,h,RT,0,0,4,1,1,99,h,0.3250947000924498,1,1,25.4919270001119,None,25.4919270001119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2225,Context_Learning_Pilot,2020.1.3,60.623476067971914,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.724716700031422,None,26.724716700031422,None,,,,,,,,,,,,,,,,1,0,"[99, 99, 99]",1,1,Hand,u,TR,0,0,1,1,1,1.0408093565242917,u,1.3060807000147179,1,1,28.541027800063603,None,28.541027800063603,None,25.612313400022686,None,h,0.6225838999962434,25.612313400022686,None,26.266527900006622,None,h,0.4321959000080824,26.266527900006622,None,26.856348800007254,None,26.856348800007254,None,26.856348800007254,None,27.09795550000854,None,u,1,1.3060807000147179,26.856348800007254,None,28.228832100052387,None,28.228832100052387,None,28.228832100052387,None,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2225,Context_Learning_Pilot,2020.1.3,60.623476067971914,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.658445700071752,None,28.658445700071752,None,,,,,,,,,,,,,,,,1,0,"[99, 99, 99]",1,1,Hand,u,TR,0,0,2,1,1,0.2364526770597133,h,1.3831137999659404,0,1,30.541097400011495,None,30.541097400011495,None,,,,,,,,,,,,,28.771705600083806,None,28.771705600083806,None,28.771705600083806,None,29.831330500077456,None,h,0,1.3831137999659404,28.771705600083806,None,30.220870100078173,None,30.220870100078173,None,30.220870100078173,None,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2225,Context_Learning_Pilot,2020.1.3,60.623476067971914,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.65833540004678,None,30.65833540004678,None,,,,,,,,,,,,,,,,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,3,1,1,0.19633858763731693,u,1.326249200035818,0,1,32.43759520002641,None,32.43759520002641,None,,,,,,,,,,,,,30.772333400091156,None,30.772333400091156,None,30.772333400091156,None,31.865083200042136,None,u,0,1.326249200035818,30.772333400091156,None,32.13229240011424,None,32.13229240011424,None,32.13229240011424,None,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2225,Context_Learning_Pilot,2020.1.3,60.623476067971914,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.55389830004424,None,32.55389830004424,None,,,,,,,,,,,,,,,,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,4,1,1,1.056206026080064,h,1.2748377999523655,1,1,34.304628400015645,None,34.304628400015645,None,,,,,,,,,,,,,32.671741600031964,None,32.671741600031964,None,32.671741600031964,None,32.91535540006589,None,h,1,1.2748377999523655,32.671741600031964,None,33.98406490008347,None,33.98406490008347,None,33.98406490008347,None,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2225,Context_Learning_Pilot,2020.1.3,60.623476067971914,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0378002000507,None,37.0378002000507,None,,,,,,,,,,,,,,,,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,1,1,2,0.2572870349373104,u,1.3272812999784946,0,1,38.823125500115566,None,38.823125500115566,None,,,,,,,34.416171300108545,None,h,2.5867341000121087,34.416171300108545,None,37.15506930008996,None,37.15506930008996,None,37.15506930008996,None,38.198563900077716,None,u,0,1.3272812999784946,37.15506930008996,None,38.50496120005846,None,38.50496120005846,None,38.50496120005846,None,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2225,Context_Learning_Pilot,2020.1.3,60.623476067971914,
