Stim,Key,Ctx_Color,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Pre_Trial_Circle_Frame.started,Pre_Trial_Circle_Frame.stopped,Pre_Trial_HandShape.started,Pre_Trial_HandShape.stopped,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Symbol,Ctx,Color,Stim_Num,Key_Num,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Actual_Press,RT,Correct,Session,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,Post_Trial_HandShape.started,Post_Trial_HandShape.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,h,"[1, -1, -1]",0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2227,Context_Learning_Pilot,2020.1.3,60.17071633941562,
1,u,"[-1, 1, -1]",1,media/dfnb.png,0.014,0.1,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2227,Context_Learning_Pilot,2020.1.3,60.17071633941562,
2,h,None,0,media/dbnb.png,0.057,0.08,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2227,Context_Learning_Pilot,2020.1.3,60.17071633941562,
3,u,None,1,media/dknb.png,0.1,0.04,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2227,Context_Learning_Pilot,2020.1.3,60.17071633941562,
,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,9.433969000005163,None,space,2.096469199983403,9.433969000005163,None,11.586058299988508,None,h,0.3444923999486491,11.586058299988508,None,12.034762100083753,None,12.034762100083753,None,12.192749900044873,None,h,1,0.5217945000622422,12.192749900044873,None,12.192749900044873,None,12.192749900044873,None,12.796273600077257,None,12.796273600077257,None,0,0,"[99, 99, 99]",0,0,Hand,h,RT,0,0,1,1,1,99,h,0.5217945000622422,1,1,13.136266899993643,None,13.136266899993643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2227,Context_Learning_Pilot,2020.1.3,60.17071633941562,
,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.262234700028785,None,13.262234700028785,None,13.374841200071387,None,h,1,0.3634623000398278,13.374841200071387,None,13.374841200071387,None,13.374841200071387,None,13.774484500056133,None,13.774484500056133,None,0,0,"[99, 99, 99]",0,0,Hand,h,RT,0,0,2,1,1,99,h,0.3634623000398278,1,1,14.09269730001688,None,14.09269730001688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2227,Context_Learning_Pilot,2020.1.3,60.17071633941562,
,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.213896900066175,None,14.213896900066175,None,14.332819300005212,None,u,1,0.4940618999535218,14.332819300005212,None,14.332819300005212,None,14.332819300005212,None,14.859081399976276,None,14.859081399976276,None,1,0,"[99, 99, 99]",1,1,Hand,u,RT,0,0,3,1,1,99,u,0.4940618999535218,1,1,15.172256899997592,None,15.172256899997592,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2227,Context_Learning_Pilot,2020.1.3,60.17071633941562,
,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.290385800064541,None,15.290385800064541,None,15.408398000057787,None,u,1,0.5298921000212431,15.408398000057787,None,15.408398000057787,None,15.408398000057787,None,15.977966399979778,None,15.977966399979778,None,1,0,"[99, 99, 99]",1,1,Hand,u,RT,0,0,4,1,1,99,u,0.5298921000212431,1,1,16.292934600031003,None,16.292934600031003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2227,Context_Learning_Pilot,2020.1.3,60.17071633941562,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,17.46078399999533,None,17.46078399999533,None,,,,,,,,,,,,,,,,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,1,1,1,0.43786650869949395,h,1.3395069000544026,1,1,19.329523400054313,None,19.329523400054313,None,16.420673200045712,None,h,0.6303762999596074,16.420673200045712,None,17.071396099985577,None,h,0.36376790003851056,17.071396099985577,None,17.599321100045927,None,17.599321100045927,None,17.599321100045927,None,18.451911100069992,None,h,1,1.3395069000544026,17.599321100045927,None,19.010538000031374,None,19.010538000031374,None,19.010538000031374,None,1,1,2020_Dec_29_2227,Context_Learning_Pilot,2020.1.3,60.17071633941562,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,19.44529180007521,None,19.44529180007521,None,,,,,,,,,,,,,,,,1,0,"[99, 99, 99]",1,1,Hand,u,TR,0,0,2,1,1,1.1987566530152967,u,1.2855344999115914,1,1,21.192592500010505,None,21.192592500010505,None,,,,,,,,,,,,,19.565328199998476,None,19.565328199998476,None,19.565328199998476,None,19.65231000003405,None,u,1,1.2855344999115914,19.565328199998476,None,20.878639500006102,None,20.878639500006102,None,20.878639500006102,None,1,1,2020_Dec_29_2227,Context_Learning_Pilot,2020.1.3,60.17071633941562,
