Stim,Key,Ctx_Color,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,Pre_Trial_Circle_Frame.started,Pre_Trial_Circle_Frame.stopped,Pre_Trial_HandShape.started,Pre_Trial_HandShape.stopped,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Symbol,Ctx,Color,Stim_Num,Key_Num,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Actual_Press,RT,Correct,Session,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,Post_Trial_HandShape.started,Post_Trial_HandShape.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,h,"[1, -1, -1]",0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
1,u,"[-1, 1, -1]",1,media/dfnb.png,0.014,0.1,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
2,h,None,0,media/dbnb.png,0.057,0.08,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
3,u,None,1,media/dknb.png,0.1,0.04,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,7.998470599995926,None,space,0.662510999944061,7.998470599995926,None,8.708553300006315,None,h,0.3849436999298632,8.708553300006315,None,9.127796499989927,None,h,0.7732180999591947,9.127796499989927,None,9.979113299981691,None,9.979113299981691,None,10.124746200046502,None,10.124746200046502,None,10.124746200046502,None,10.933133500046097,None,h,1,1.4084950000979006,10.124746200046502,None,11.610478300019167,None,11.610478300019167,None,11.610478300019167,None,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,1,1,1,0.47526849701233265,h,1.4084950000979006,1,1,11.958000599988736,None,11.958000599988736,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.073282200028189,None,12.073282200028189,None,12.188470000051893,None,12.188470000051893,None,12.188470000051893,None,12.716269299970008,None,h,1,1.257473099976778,12.188470000051893,None,13.491898600012064,None,13.491898600012064,None,13.491898600012064,None,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,2,1,1,0.7680528342791171,h,1.257473099976778,1,1,13.809653399977833,None,13.809653399977833,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.931154199992307,None,13.931154199992307,None,14.040047700051218,None,14.040047700051218,None,14.040047700051218,None,15.399495300021954,None,u,1,1.3732381999725476,14.040047700051218,None,15.441722400020808,None,15.441722400020808,None,15.441722400020808,None,1,0,"[99, 99, 99]",1,1,Hand,u,TR,0,0,3,1,1,-0.08306576106281027,u,1.3732381999725476,1,1,15.757094600005075,None,15.757094600005075,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.887360600056127,None,15.887360600056127,None,16.0108572000172,None,16.0108572000172,None,16.0108572000172,None,16.98267479997594,None,u,1,1.3064216000493616,16.0108572000172,None,17.351629200042225,None,17.351629200042225,None,17.351629200042225,None,1,0,"[99, 99, 99]",1,1,Hand,u,TR,0,0,4,1,1,0.31190011424376984,u,1.3064216000493616,1,1,17.67163720005192,None,17.67163720005192,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.78963729995303,None,17.78963729995303,None,17.905086199985817,None,17.905086199985817,None,17.905086199985817,None,18.86626919999253,None,h,1,1.2199239000910893,17.905086199985817,None,19.162212900002487,None,19.162212900002487,None,19.162212900002487,None,0,0,"[99, 99, 99]",0,0,Hand,h,TR,0,0,5,1,1,0.3336882323727528,h,1.2199239000910893,1,1,19.471098199952394,None,19.471098199952394,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.58848020003643,None,19.58848020003643,None,19.717035999987274,None,19.717035999987274,None,19.717035999987274,None,21.016294719965664,None,h,0,1.2799983998993412,19.717035999987274,None,21.02268609998282,None,21.02268609998282,None,21.02268609998282,None,1,0,"[99, 99, 99]",1,1,Hand,u,TR,0,0,6,1,1,-0.012928507202116801,h,1.2799983998993412,0,1,21.341669999994338,None,21.341669999994338,None,1,1,2020_Dec_29_2246,Context_Learning_Pilot,2020.1.3,59.91622510996276,
