Stim,Key,Ctx_Color,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_New_Bool.thisRepN,CR_New_Bool.thisTrialN,CR_New_Bool.thisN,CR_New_Bool.thisIndex,RT_Old_Bool.thisRepN,RT_Old_Bool.thisTrialN,RT_Old_Bool.thisN,RT_Old_Bool.thisIndex,RT_New_Bool.thisRepN,RT_New_Bool.thisTrialN,RT_New_Bool.thisN,RT_New_Bool.thisIndex,TR_Old_Bool.thisRepN,TR_Old_Bool.thisTrialN,TR_Old_Bool.thisN,TR_Old_Bool.thisIndex,TR_Old_Block.thisRepN,TR_Old_Block.thisTrialN,TR_Old_Block.thisN,TR_Old_Block.thisIndex,TR_Old_Iter.thisRepN,TR_Old_Iter.thisTrialN,TR_Old_Iter.thisN,TR_Old_Iter.thisIndex,TR_Feedback_Old_Bool.thisRepN,TR_Feedback_Old_Bool.thisTrialN,TR_Feedback_Old_Bool.thisN,TR_Feedback_Old_Bool.thisIndex,TR_Penalty_Old_Bool.thisRepN,TR_Penalty_Old_Bool.thisTrialN,TR_Penalty_Old_Bool.thisN,TR_Penalty_Old_Bool.thisIndex,TR_New_Bool.thisRepN,TR_New_Bool.thisTrialN,TR_New_Bool.thisN,TR_New_Bool.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_TR_Old_Text.started,Instr_TR_Old_Text.stopped,Instr_TR_Old_Press.keys,Instr_TR_Old_Press.rt,Instr_TR_Old_Press.started,Instr_TR_Old_Press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,Pre_Trial_Circle_Frame.started,Pre_Trial_Circle_Frame.stopped,Pre_Trial_HandShape.started,Pre_Trial_HandShape.stopped,TR_Circle_Frame.started,TR_Circle_Frame.stopped,TR_Circle.started,TR_Circle.stopped,TR_Ctx.started,TR_Ctx.stopped,TR_Stim_Image.started,TR_Stim_Image.stopped,TR_Press.keys,TR_Press.corr,TR_Press.rt,TR_Press.started,TR_Press.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Symbol,Shape,Ctx,Color,Stim_Num,Key_Num,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Actual_Press,RT,Correct,Session,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,Post_Trial_HandShape.started,Post_Trial_HandShape.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,h,"[1, -1, -1]",0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2258,Context_Learning_Pilot,2020.1.3,60.4551791664388,
1,u,"[-1, 1, -1]",1,media/dfnb.png,0.014,0.1,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2258,Context_Learning_Pilot,2020.1.3,60.4551791664388,
2,h,None,0,media/dbnb.png,0.057,0.08,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2258,Context_Learning_Pilot,2020.1.3,60.4551791664388,
3,u,None,1,media/dknb.png,0.1,0.04,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2258,Context_Learning_Pilot,2020.1.3,60.4551791664388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,9.0451493000146,None,space,1.470340900006704,9.0451493000146,None,10.568549199961126,None,h,0.6668173999059945,10.568549199961126,None,11.265575399971567,None,h,0.6976948999799788,11.265575399971567,None,12.079680599970743,None,12.079680599970743,None,12.191696899943054,None,12.191696899943054,None,12.191696899943054,None,13.048191900015809,None,h,0,1.3398876000428572,12.191696899943054,None,13.612672499963082,None,13.612672499963082,None,13.612672499963082,None,0,media/dcnb.png,2,"[-1, 1, -1]",2,0,Symb,u,TR,0,0,1,1,1,0.34211007937413296,h,1.3398876000428572,0,1,13.933962999959476,None,13.933962999959476,None,,,,,,,,,1,1,2020_Dec_29_2258,Context_Learning_Pilot,2020.1.3,60.4551791664388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.05531450000126,None,14.05531450000126,None,14.161972999922,15.645533900009468,14.161972999922,15.645533900009468,14.161972999922,15.645533900009468,14.345434200018644,15.645533900009468,None,0,,14.161972999922,None,,,,,,,0,media/dcnb.png,1,"[1, -1, -1]",0,0,Symb,h,TR,0,0,2,1,1,1.0029528701710908,[],[],1,1,18.512431100010872,None,18.512431100010872,None,15.680974400020204,None,15.680974400020204,None,h,0.7889793999493122,17.678657999960706,None,1,1,2020_Dec_29_2258,Context_Learning_Pilot,2020.1.3,60.4551791664388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.62081369990483,None,18.62081369990483,None,18.72877059993334,None,18.72877059993334,None,18.72877059993334,None,19.71215839998331,None,u,1,1.250469999969937,18.72877059993334,None,20.04666069999803,None,20.04666069999803,None,20.04666069999803,None,1,media/dfnb.png,1,"[1, -1, -1]",1,1,Symb,u,TR,0,0,3,1,1,0.2019800269513935,u,1.250469999969937,1,1,20.372064299997874,None,20.372064299997874,None,,,,,,,,,1,1,2020_Dec_29_2258,Context_Learning_Pilot,2020.1.3,60.4551791664388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.492104499950074,None,20.492104499950074,None,20.59536959999241,None,20.59536959999241,None,20.59536959999241,None,21.112169999978505,None,h,0,1.2962359000230208,20.59536959999241,None,21.94618859991897,None,21.94618859991897,None,21.94618859991897,None,1,media/dfnb.png,1,"[1, -1, -1]",1,1,Symb,u,TR,0,0,4,1,1,0.6641530471629867,h,1.2962359000230208,0,1,22.25369609997142,None,22.25369609997142,None,,,,,,,,,1,1,2020_Dec_29_2258,Context_Learning_Pilot,2020.1.3,60.4551791664388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.36683740001172,None,22.36683740001172,None,22.478724999935366,None,22.478724999935366,None,22.478724999935366,None,None,None,h,1,1.2766757000936195,22.478724999935366,None,23.789192999945953,None,23.789192999945953,None,23.789192999945953,None,0,media/dcnb.png,1,"[1, -1, -1]",0,0,Symb,h,TR,0,0,5,1,1,-0.4228291397577614,h,1.2766757000936195,1,1,24.103359899949282,None,24.103359899949282,None,,,,,,,,,1,1,2020_Dec_29_2258,Context_Learning_Pilot,2020.1.3,60.4551791664388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.215166399953887,None,24.215166399953887,None,24.330026399926282,None,24.330026399926282,None,24.330026399926282,None,24.628455800004303,None,u,0,1.2813826000783592,24.330026399926282,None,25.63226489990484,None,25.63226489990484,None,25.63226489990484,None,1,media/dfnb.png,2,"[-1, 1, -1]",3,1,Symb,h,TR,0,0,6,1,1,0.8899279162064173,u,1.2813826000783592,0,1,25.95270239992533,None,25.95270239992533,None,,,,,,,,,1,1,2020_Dec_29_2258,Context_Learning_Pilot,2020.1.3,60.4551791664388,
