Stim,Key,Ctx_Color,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_New_Bool.thisRepN,CR_New_Bool.thisTrialN,CR_New_Bool.thisN,CR_New_Bool.thisIndex,RT_Old_Bool.thisRepN,RT_Old_Bool.thisTrialN,RT_Old_Bool.thisN,RT_Old_Bool.thisIndex,RT_New_Bool.thisRepN,RT_New_Bool.thisTrialN,RT_New_Bool.thisN,RT_New_Bool.thisIndex,TR_Old_Bool.thisRepN,TR_Old_Bool.thisTrialN,TR_Old_Bool.thisN,TR_Old_Bool.thisIndex,TR_Old_Block.thisRepN,TR_Old_Block.thisTrialN,TR_Old_Block.thisN,TR_Old_Block.thisIndex,TR_Old_Iter.thisRepN,TR_Old_Iter.thisTrialN,TR_Old_Iter.thisN,TR_Old_Iter.thisIndex,TR_Feedback_Old_Bool.thisRepN,TR_Feedback_Old_Bool.thisTrialN,TR_Feedback_Old_Bool.thisN,TR_Feedback_Old_Bool.thisIndex,TR_Penalty_Old_Bool.thisRepN,TR_Penalty_Old_Bool.thisTrialN,TR_Penalty_Old_Bool.thisN,TR_Penalty_Old_Bool.thisIndex,TR_New_Bool.thisRepN,TR_New_Bool.thisTrialN,TR_New_Bool.thisN,TR_New_Bool.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_TR_Old_Text.started,Instr_TR_Old_Text.stopped,Instr_TR_Old_Press.keys,Instr_TR_Old_Press.rt,Instr_TR_Old_Press.started,Instr_TR_Old_Press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,Pre_Trial_Circle_Frame.started,Pre_Trial_Circle_Frame.stopped,Pre_Trial_HandShape.started,Pre_Trial_HandShape.stopped,TR_Circle_Frame.started,TR_Circle_Frame.stopped,TR_Circle.started,TR_Circle.stopped,TR_Ctx.started,TR_Ctx.stopped,TR_Stim_Image.started,TR_Stim_Image.stopped,TR_Press.keys,TR_Press.corr,TR_Press.rt,TR_Press.started,TR_Press.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Symbol,Shape,Ctx,Color,Stim_Num,Key_Num,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Actual_Press,RT,Correct,Session,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,Post_Trial_HandShape.started,Post_Trial_HandShape.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,h,"[1, -1, -1]",0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2339,Context_Learning_Pilot,2020.1.3,59.971129915600415,
1,u,"[-1, 1, -1]",1,media/dfnb.png,0.014,0.1,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2339,Context_Learning_Pilot,2020.1.3,59.971129915600415,
2,h,None,0,media/dbnb.png,0.057,0.08,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2339,Context_Learning_Pilot,2020.1.3,59.971129915600415,
3,u,None,1,media/dknb.png,0.1,0.04,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2339,Context_Learning_Pilot,2020.1.3,59.971129915600415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,8.588832999928854,None,space,2.0539093000115827,8.588832999928854,None,10.701789099955931,None,h,0.7090092999860644,10.701789099955931,None,11.440239799907431,None,h,0.6424911000067368,11.440239799907431,None,12.18203479994554,None,12.18203479994554,None,12.292879099957645,None,12.292879099957645,None,12.292879099957645,None,12.952753699966706,None,h,0,1.3820977000286803,12.292879099957645,None,13.720686799963005,None,13.720686799963005,None,13.720686799963005,None,1,media/dfnb.png,1,"[1, -1, -1]",1,1,Symb,u,TR,0,0,1,1,1,0.5350685224628983,h,1.3820977000286803,0,1,14.062719499925151,None,14.062719499925151,None,1,1,2020_Dec_29_2339,Context_Learning_Pilot,2020.1.3,59.971129915600415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.17681959993206,None,14.17681959993206,None,14.287069599959068,None,14.287069599959068,None,14.287069599959068,None,14.503328499966301,None,u,0,1.307773300097324,14.287069599959068,None,15.63549139990937,None,15.63549139990937,None,15.63549139990937,None,1,media/dfnb.png,2,"[-1, 1, -1]",3,1,Symb,h,TR,0,0,2,1,1,0.9693936769287013,u,1.307773300097324,0,1,15.942217799951322,None,15.942217799951322,None,1,1,2020_Dec_29_2339,Context_Learning_Pilot,2020.1.3,59.971129915600415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.058638299931772,None,16.058638299931772,None,16.169404199928977,None,16.169404199928977,None,16.169404199928977,None,17.21980869991239,None,h,1,1.2811819000635296,16.169404199928977,None,17.521539799985476,None,17.521539799985476,None,17.521539799985476,None,1,media/dfnb.png,2,"[-1, 1, -1]",3,1,Symb,h,TR,0,0,3,1,1,0.13818122528290658,h,1.2811819000635296,1,1,17.826650099945255,None,17.826650099945255,None,1,1,2020_Dec_29_2339,Context_Learning_Pilot,2020.1.3,59.971129915600415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.95219450001605,None,17.95219450001605,None,18.05545300000813,None,18.05545300000813,None,18.05545300000813,None,18.402946099988185,None,u,0,1.2592613999731839,18.05545300000813,None,19.340063699986786,None,19.340063699986786,None,19.340063699986786,None,0,media/dcnb.png,1,"[1, -1, -1]",0,0,Symb,h,TR,0,0,4,1,1,0.8304367160354182,u,1.2592613999731839,0,1,19.659748599980958,None,19.659748599980958,None,1,1,2020_Dec_29_2339,Context_Learning_Pilot,2020.1.3,59.971129915600415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.773953899974003,None,19.773953899974003,None,19.887303399969824,None,19.887303399969824,None,19.887303399969824,None,20.652895799954422,None,h,0,1.2835102999815717,19.887303399969824,None,21.18900389992632,None,21.18900389992632,None,21.18900389992632,None,1,media/dfnb.png,1,"[1, -1, -1]",1,1,Symb,u,TR,0,0,5,1,1,0.4175341051062187,h,1.2835102999815717,0,1,21.508430799935013,None,21.508430799935013,None,1,1,2020_Dec_29_2339,Context_Learning_Pilot,2020.1.3,59.971129915600415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.634774699923582,None,21.634774699923582,None,21.736359299975447,None,21.736359299975447,None,21.736359299975447,None,22.036910399910994,None,u,1,1.2992731999838725,21.736359299975447,None,23.06463449995499,None,23.06463449995499,None,23.06463449995499,None,0,media/dcnb.png,2,"[-1, 1, -1]",2,0,Symb,u,TR,0,0,6,1,1,0.8778629740518646,u,1.2992731999838725,1,1,23.37356079998426,None,23.37356079998426,None,1,1,2020_Dec_29_2339,Context_Learning_Pilot,2020.1.3,59.971129915600415,
