Stim,Key,Ctx_Color,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_New_Bool.thisRepN,CR_New_Bool.thisTrialN,CR_New_Bool.thisN,CR_New_Bool.thisIndex,RT_Old_Bool.thisRepN,RT_Old_Bool.thisTrialN,RT_Old_Bool.thisN,RT_Old_Bool.thisIndex,RT_New_Bool.thisRepN,RT_New_Bool.thisTrialN,RT_New_Bool.thisN,RT_New_Bool.thisIndex,TR_Old_Bool.thisRepN,TR_Old_Bool.thisTrialN,TR_Old_Bool.thisN,TR_Old_Bool.thisIndex,TR_Old_Block.thisRepN,TR_Old_Block.thisTrialN,TR_Old_Block.thisN,TR_Old_Block.thisIndex,TR_Old_Iter.thisRepN,TR_Old_Iter.thisTrialN,TR_Old_Iter.thisN,TR_Old_Iter.thisIndex,TR_Feedback_Old_Bool.thisRepN,TR_Feedback_Old_Bool.thisTrialN,TR_Feedback_Old_Bool.thisN,TR_Feedback_Old_Bool.thisIndex,TR_Penalty_Old_Bool.thisRepN,TR_Penalty_Old_Bool.thisTrialN,TR_Penalty_Old_Bool.thisN,TR_Penalty_Old_Bool.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_TR_Old_Text.started,Instr_TR_Old_Text.stopped,Instr_TR_Old_Press.keys,Instr_TR_Old_Press.rt,Instr_TR_Old_Press.started,Instr_TR_Old_Press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,Pre_Trial_Circle_Frame.started,Pre_Trial_Circle_Frame.stopped,Pre_Trial_HandShape.started,Pre_Trial_HandShape.stopped,TR_Circle_Frame.started,TR_Circle_Frame.stopped,TR_Circle.started,TR_Circle.stopped,TR_Ctx.started,TR_Ctx.stopped,TR_Stim_Image.started,TR_Stim_Image.stopped,TR_Press.keys,TR_Press.corr,TR_Press.rt,TR_Press.started,TR_Press.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Symbol,Shape,Ctx,Color,Stim_Num,Key_Num,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Actual_Press,RT,Correct,Session,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,Post_Trial_HandShape.started,Post_Trial_HandShape.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,h,"[1, -1, -1]",0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2350,Context_Learning_Pilot,2020.1.3,60.338705282340335,
1,u,"[-1, 1, -1]",1,media/dfnb.png,0.014,0.1,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2350,Context_Learning_Pilot,2020.1.3,60.338705282340335,
2,h,None,0,media/dbnb.png,0.057,0.08,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2350,Context_Learning_Pilot,2020.1.3,60.338705282340335,
3,u,None,1,media/dknb.png,0.1,0.04,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_29_2350,Context_Learning_Pilot,2020.1.3,60.338705282340335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9.496619099983945,None,space,1.1530232999939471,9.496619099983945,None,10.696299799950793,None,h,0.641012099920772,10.696299799950793,None,11.372518999967724,None,h,0.5009521000320092,11.372518999967724,None,11.950355799985118,None,11.950355799985118,None,12.054317699978128,None,12.054317699978128,None,12.054317699978128,None,12.351624500006437,None,h,1,1.1793423000490293,12.054317699978128,None,13.265043899999,None,13.265043899999,None,13.265043899999,None,1,media/dfnb.png,2,"[-1, 1, -1]",3,1,Symb,h,TR,0,0,1,1,1,0.8979265483555471,h,1.1793423000490293,1,1,13.575319400057197,None,13.575319400057197,None,,,,,,,,,1,1,2020_Dec_29_2350,Context_Learning_Pilot,2020.1.3,60.338705282340335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.695739699993283,None,13.695739699993283,None,13.80153249995783,15.285277700051665,13.80153249995783,15.285277700051665,13.80153249995783,15.285277700051665,14.30375229998026,15.285277700051665,None,0,,13.80153249995783,None,,,,,,,1,media/dfnb.png,1,"[1, -1, -1]",1,1,Symb,u,TR,0,0,2,1,1,0.6882997265166444,[],[],1,1,17.708969400031492,None,17.708969400031492,None,15.325045099947602,None,15.325045099947602,None,h,0.36371459998190403,17.318261999986134,None,1,1,2020_Dec_29_2350,Context_Learning_Pilot,2020.1.3,60.338705282340335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.82673990004696,None,17.82673990004696,None,17.935270000016317,None,17.935270000016317,None,17.935270000016317,None,None,None,h,0,1.3301372000714764,17.935270000016317,None,19.2947950999951,None,19.2947950999951,None,19.2947950999951,None,0,media/dcnb.png,2,"[-1, 1, -1]",2,0,Symb,u,TR,0,0,3,1,1,-0.32896536773330076,h,1.3301372000714764,0,1,19.606710199965164,None,19.606710199965164,None,,,,,,,,,1,1,2020_Dec_29_2350,Context_Learning_Pilot,2020.1.3,60.338705282340335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.726671700016595,None,19.726671700016595,None,19.83508939994499,None,19.83508939994499,None,19.83508939994499,None,20.13468500005547,None,u,0,1.2942545000696555,19.83508939994499,None,21.155231300042942,None,21.155231300042942,None,21.155231300042942,None,0,media/dcnb.png,1,"[1, -1, -1]",0,0,Symb,h,TR,0,0,4,1,1,0.8803551700427779,u,1.2942545000696555,0,1,21.473161199945025,None,21.473161199945025,None,,,,,,,,,1,1,2020_Dec_29_2350,Context_Learning_Pilot,2020.1.3,60.338705282340335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.589849999989383,None,21.589849999989383,None,21.70237069996074,None,21.70237069996074,None,21.70237069996074,None,22.618141500046477,None,h,0,1.3390340999467298,21.70237069996074,None,23.07211259996984,None,23.07211259996984,None,23.07211259996984,None,0,media/dcnb.png,2,"[-1, 1, -1]",2,0,Symb,u,TR,0,0,5,1,1,0.2689495835627039,h,1.3390340999467298,0,1,23.390042299986817,None,23.390042299986817,None,,,,,,,,,1,1,2020_Dec_29_2350,Context_Learning_Pilot,2020.1.3,60.338705282340335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.507425399962813,None,23.507425399962813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
