Stim,Ctx_Color,Key,KeyNum,imStim,X_Pos,Y_Pos,Hand,Check,Cross,Import_File.thisRepN,Import_File.thisTrialN,Import_File.thisN,Import_File.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_New_Bool.thisRepN,CR_New_Bool.thisTrialN,CR_New_Bool.thisN,CR_New_Bool.thisIndex,RT_Old_Bool.thisRepN,RT_Old_Bool.thisTrialN,RT_Old_Bool.thisN,RT_Old_Bool.thisIndex,RT_New_Bool.thisRepN,RT_New_Bool.thisTrialN,RT_New_Bool.thisN,RT_New_Bool.thisIndex,TR_Old_Bool.thisRepN,TR_Old_Bool.thisTrialN,TR_Old_Bool.thisN,TR_Old_Bool.thisIndex,TR_Old_Block.thisRepN,TR_Old_Block.thisTrialN,TR_Old_Block.thisN,TR_Old_Block.thisIndex,TR_Old_Iter.thisRepN,TR_Old_Iter.thisTrialN,TR_Old_Iter.thisN,TR_Old_Iter.thisIndex,TR_Feedback_Old_Bool.thisRepN,TR_Feedback_Old_Bool.thisTrialN,TR_Feedback_Old_Bool.thisN,TR_Feedback_Old_Bool.thisIndex,TR_Penalty_Old_Bool.thisRepN,TR_Penalty_Old_Bool.thisTrialN,TR_Penalty_Old_Bool.thisN,TR_Penalty_Old_Bool.thisIndex,TR_New_Bool.thisRepN,TR_New_Bool.thisTrialN,TR_New_Bool.thisN,TR_New_Bool.thisIndex,Ctx_Color_List,stim_key_map_ctx1,stim_key_map_ctx2,stim_key_remap_ctx1,stim_key_remap_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_TR_Old_Text.started,Instr_TR_Old_Text.stopped,Instr_TR_Old_Press.keys,Instr_TR_Old_Press.rt,Instr_TR_Old_Press.started,Instr_TR_Old_Press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,Pre_Trial_Circle_Frame.started,Pre_Trial_Circle_Frame.stopped,Pre_Trial_HandShape.started,Pre_Trial_HandShape.stopped,TR_Circle_Frame.started,TR_Circle_Frame.stopped,TR_Circle.started,TR_Circle.stopped,TR_Ctx.started,TR_Ctx.stopped,TR_Stim_Image.started,TR_Stim_Image.stopped,TR_Press.keys,TR_Press.corr,TR_Press.rt,TR_Press.started,TR_Press.stopped,Symbol,Shape,Ctx,Color,Stim_Num,Key_Num,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp,Block_Num,Prep_Time,Actual_Press,RT,Correct,Session,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,Post_Trial_HandShape.started,Post_Trial_HandShape.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,"[1, -1, -1]",h,0,media/dcnb.png,-0.038,0.075,media/hand.png,media/check.png,media/cross.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[1, -1, -1], [-1, 1, -1]]","(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_30_0247,Context_Learning_Pilot,2020.1.3,59.9055648876715,
1,"[-1, 1, -1]",u,1,media/dfnb.png,0.014,0.1,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[1, -1, -1], [-1, 1, -1], [1, -1, -1], [-1, 1, -1]]","(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_30_0247,Context_Learning_Pilot,2020.1.3,59.9055648876715,
2,None,h,0,media/dbnb.png,0.057,0.08,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[1, -1, -1], [-1, 1, -1], [1, -1, -1], [-1, 1, -1], [1, -1, -1], [-1, 1, -1]]","(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_30_0247,Context_Learning_Pilot,2020.1.3,59.9055648876715,
3,None,u,1,media/dknb.png,0.1,0.04,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[1, -1, -1], [-1, 1, -1], [1, -1, -1], [-1, 1, -1], [1, -1, -1], [-1, 1, -1], [1, -1, -1], [-1, 1, -1]]","(0, 1)","(1, 0)","[1, 0]","[0, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_30_0247,Context_Learning_Pilot,2020.1.3,59.9055648876715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,9.4718718000222,None,space,1.4673343000467867,9.4718718000222,None,10.992702799965627,None,h,1.5944464000640437,10.992702799965627,None,12.62042880000081,None,h,0.4546222999924794,12.62042880000081,None,13.16318319994025,None,13.16318319994025,None,13.268256300012581,None,13.268256300012581,None,13.268256300012581,None,14.083209699951112,None,h,1,1.3112640000181273,13.268256300012581,None,0,media/dcnb.png,1,"[1, -1, -1]",0,0,Symb,h,TR,0,0,1,1,1,0.3649824607615746,h,1.3112640000181273,1,1,14.615933299995959,None,14.615933299995959,None,14.776815499993972,None,14.776815499993972,None,14.776815499993972,None,1,1,2020_Dec_30_0247,Context_Learning_Pilot,2020.1.3,59.9055648876715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.087271299911663,None,15.087271299911663,None,15.199700800003484,None,15.199700800003484,None,15.199700800003484,None,16.06662509997841,None,u,1,1.323576599941589,15.199700800003484,None,0,media/dcnb.png,2,"[-1, 1, -1]",2,0,Symb,u,TR,0,0,2,1,1,0.3137216536324783,u,1.323576599941589,1,1,16.561541299917735,None,16.561541299917735,None,16.67331350001041,None,16.67331350001041,None,16.67331350001041,None,1,1,2020_Dec_30_0247,Context_Learning_Pilot,2020.1.3,59.9055648876715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.988170100026764,None,16.988170100026764,None,17.09949619998224,None,17.09949619998224,None,17.09949619998224,None,17.09949619998224,None,h,1,1.3277577999979258,17.09949619998224,None,1,media/dfnb.png,2,"[-1, 1, -1]",3,1,Symb,h,TR,0,0,3,1,1,1.186682057828968,h,1.3277577999979258,1,1,18.457828899961896,None,18.457828899961896,None,18.573287199949846,None,18.573287199949846,None,18.573287199949846,None,1,1,2020_Dec_30_0247,Context_Learning_Pilot,2020.1.3,59.9055648876715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.888067099964246,None,18.888067099964246,None,18.999823799938895,None,18.999823799938895,None,18.999823799938895,None,19.23345049994532,None,u,1,1.300550700048916,18.999823799938895,None,1,media/dfnb.png,1,"[1, -1, -1]",1,1,Symb,u,TR,0,0,4,1,1,0.9479375370828467,u,1.300550700048916,1,1,20.325500899925828,None,20.325500899925828,None,20.436229999992065,None,20.436229999992065,None,20.436229999992065,None,1,1,2020_Dec_30_0247,Context_Learning_Pilot,2020.1.3,59.9055648876715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75535230000969,None,20.75535230000969,None,20.866345199989155,None,20.866345199989155,None,20.866345199989155,None,20.899918299983256,None,h,0,1.3773329999530688,20.866345199989155,None,0,media/dcnb.png,2,"[-1, 1, -1]",2,0,Symb,u,TR,0,0,5,1,1,1.1474701798989335,h,1.3773329999530688,0,1,22.275162199977785,None,22.275162199977785,None,22.416282600024715,None,22.416282600024715,None,22.416282600024715,None,1,1,2020_Dec_30_0247,Context_Learning_Pilot,2020.1.3,59.9055648876715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.73478309996426,None,22.73478309996426,None,22.851064799935557,None,22.851064799935557,None,22.851064799935557,None,23.78321129991673,None,h,1,1.3921546000055969,22.851064799935557,None,1,media/dfnb.png,2,"[-1, 1, -1]",3,1,Symb,h,TR,0,0,6,1,1,0.24849184170768948,h,1.3921546000055969,1,1,24.27475759992376,None,24.27475759992376,None,24.390705000027083,None,24.390705000027083,None,24.390705000027083,None,1,1,2020_Dec_30_0247,Context_Learning_Pilot,2020.1.3,59.9055648876715,
